DataName,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho
Units,\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W)
Size,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,12457.178449081284,10000.000000000002,2679.73202679732,5199.462124607799,13223.869083696072,12457.178449081284,1239.938003099845,1159.8840115988398,12905.538626994085,1679.83201679832
DataValue,12521.521364845828,10651.045133803755,11754.334410813988,1479.926003699815,13386.880856760376,12545.08389524855,10822.998872604283,879.91200879912,14231.077114649115,1341.3816230717641
DataValue,1039.89601039896,5260.389268805891,679.9660016999151,14601.204599379447,1639.83601639836,12001.200120012001,11001.100110011002,12332.08544373486,13624.751632131705,1187.6043792911487
DataValue,12513.686844986705,9431.737797689224,11780.297452510677,14417.878168929472,1759.91200439978,1999.8000199980002,11138.183083884442,12955.465587044535,13409.961685823757,1407.9549454417458
DataValue,10464.977999762159,10617.120106171202,2039.79602039796,3119.84400779961,10008.601141606068,1919.80801919808,11267.605633802817,2239.88800559972,13826.477704804702,2919.70802919708
DataValue,2759.862006899655,10314.59515214028,11712.173340165435,10302.249829558366,13212.221304706854,2759.72402759724,11386.279533162538,12783.63694471077,13821.700069108501,2159.7840215978404
DataValue,1839.8160183981602,9823.484267075979,2919.70802919708,6641.123882503192,2159.7840215978404,12539.184952978057,9547.488811536548,799.9200079992,13413.173652694613,1239.87601239876
DataValue,2799.4401119776044,10524.469391334853,11712.173340165435,1799.730040493926,2879.5680647902814,12176.560121765602,1799.9100044997751,879.91200879912,14232.342999466287,1601.6016016016015
DataValue,1799.9100044997751,10621.348911311738,11625.090821022039,11766.036882000228,6491.398896462188,719.92800719928,11258.619880846272,2519.6220566914963,14228.546020453536,1288.2447665056359
DataValue,8802.171202229883,7984.031936127744,11309.018942606728,1439.85601439856,3079.5380692896065,11484.823625922889,2159.7840215978404,2039.8980050997452,14232.342999466287,1582.9046299960428
DataValue,1319.8020296955458,10616.415632672019,1519.84801519848,7529.411764705882,6497.72579597141,2479.87600619969,11412.268188302425,879.95600219989,14272.970561998218,836.2817626246381
DataValue,11834.31952662722,1759.91200439978,2359.76402359764,10693.400167084379,2759.862006899655,2559.74402559744,11254.924029262802,13291.24439275627,13397.129186602871,1558.846453624318
DataValue,6870.056497175141,10629.816635663035,11717.31966312706,14283.80127661474,12182.74111675127,12317.799219872717,2119.8940052997355,10648.100747414765,12042.147516307074,1418.0206794682422
DataValue,12328.556017876406,1879.8120187981199,11749.155529446321,12777.51157961987,11002.962336013543,11482.468730777118,11399.25904816187,13024.013024013024,14270.424545130218,2119.8940052997355
DataValue,959.95200239988,10440.456769983688,839.91600839916,3239.8380080995953,11322.089869088335,12531.328320802006,11276.075925577898,13018.714401952808,13807.386952019331,1204.6177011878867
